lat,lon,00:00Z 2025-03-05,00:00Z 2025-03-06,00:00Z 2025-03-07,00:00Z 2025-03-08,00:00Z 2025-03-09,00:00Z 2025-03-10,00:00Z 2025-03-11,00:00Z 2025-03-12,00:00Z 2025-03-13
5.002144,98.11325,3.109999895095825,1.600000023841858,19.6200008392334,10.789999961853027,4.739999771118164,10.779999732971191,1.190000057220459,1.1100000143051147,7.869999885559082
5.002144,98.19639,2.3499999046325684,1.100000023841858,84.0199966430664,9.149999618530273,6.659999847412109,10.880000114440918,1.4700000286102295,0.1599999964237213,11.270000457763672
5.002144,98.279526,0.1599999964237213,2.930000066757202,38.09000015258789,11.6899995803833,3.180000066757202,45.75,2.430000066757202,1.9299999475479126,19.100000381469727
5.002144,98.36266,1.190000057220459,8.539999961853027,21.18000030517578,18.8799991607666,2.859999895095825,11.15999984741211,6.260000228881836,6.119999885559082,18.0
5.002144,98.4458,1.909999966621399,29.979999542236328,7.269999980926514,15.680000305175781,2.1500000953674316,10.1899995803833,1.5,54.06999969482422,17.020000457763672
5.002144,98.52893,24.260000228881836,35.540000915527344,12.890000343322754,22.1200008392334,3.759999990463257,12.149999618530273,1.100000023841858,13.449999809265137,32.470001220703125
5.002144,98.612076,0.800000011920929,9.579999923706055,26.100000381469727,25.969999313354492,12.770000457763672,23.079999923706055,0.6200000047683716,6.119999885559082,71.01000213623047
5.002144,98.695206,0.10999999940395355,1.6299999952316284,29.6200008392334,44.459999084472656,12.600000381469727,13.520000457763672,0.3400000035762787,7.659999847412109,38.43000030517578
5.002144,98.77834,2.5899999141693115,4.480000019073486,26.079999923706055,49.060001373291016,23.219999313354492,16.18000030517578,0.4000000059604645,10.880000114440918,67.31999969482422
5.002144,98.86148,2.3299999237060547,3.4100000858306885,11.789999961853027,31.1200008392334,15.979999542236328,11.550000190734863,2.430000066757202,4.309999942779541,85.98999786376953
5.002144,98.94461,0.05999999865889549,4.460000038146973,4.730000019073486,18.790000915527344,27.709999084472656,15.329999923706055,1.8799999952316284,0.8299999833106995,135.57000732421875
5.002144,99.027756,1.9199999570846558,4.71999979019165,8.90999984741211,19.559999465942383,24.81999969482422,7.239999771118164,1.5800000429153442,0.8799999952316284,77.27999877929688
5.002144,99.110886,1.8200000524520874,2.7300000190734863,4.900000095367432,14.25,22.700000762939453,8.84000015258789,0.5099999904632568,0.7300000190734863,66.61000061035156
5.002144,99.19402,0.05000000074505806,10.779999732971191,7.460000038146973,18.5,2.569999933242798,14.979999542236328,1.4700000286102295,1.7200000286102295,57.869998931884766
5.002144,99.27716,0.800000011920929,46.060001373291016,2.390000104904175,21.110000610351562,1.659999966621399,19.020000457763672,1.8700000047683716,1.9299999475479126,140.0
5.002144,99.36029,3.25,51.75,4.75,7.670000076293945,2.390000104904175,49.709999084472656,1.1200000047683716,2.869999885559082,77.63999938964844
