DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
24/07/2025 23:00,110.192741394,115.22731781,117.48122406,125.136573792,136.361068726,119.247459412,281.793121338
25/07/2025 00:00,110.038368225,114.946960449,116.560256958,123.945808411,136.284164429,120.569564819,281.212524414
25/07/2025 01:00,109.886505127,114.672096252,116.60534668,123.762329102,136.209243774,121.314239502,280.645019531
25/07/2025 02:00,109.73588562,114.406494141,116.730682373,123.523796082,136.136260986,121.940193176,280.050415039
25/07/2025 03:00,109.592933655,114.145568848,116.207252502,123.126914978,136.0652771,122.509849548,279.473388672
25/07/2025 04:00,109.44934845,113.897094727,115.321556091,122.926956177,135.996185303,115.885124207,278.903747559
25/07/2025 05:00,109.311683655,113.650886536,115.816055298,121.416305542,135.928985596,116.825576782,278.324401855
25/07/2025 06:00,109.17615509,113.415756226,115.149749756,121.671142578,135.86366272,117.433753967,277.742156982
25/07/2025 07:00,109.044235229,113.183334351,114.304473877,120.796485901,135.800231934,118.126144409,277.182403564
25/07/2025 08:00,108.915489197,112.952400208,114.933044434,119.696456909,135.738693237,119.058074951,276.600311279
25/07/2025 09:00,108.789268494,112.734321594,114.123710632,120.21181488,135.67906189,119.75440979,276.023742676
25/07/2025 10:00,108.665107727,112.515640259,114.21105957,120.20262146,135.621353149,112.10849762,275.462280273
25/07/2025 11:00,108.545883179,112.300453186,113.758750916,121.190673828,135.565551758,121.020507812,274.882446289
25/07/2025 12:00,108.428741455,112.096473694,113.29637146,117.98046875,135.51159668,113.502853394,274.323699951
25/07/2025 13:00,108.316452026,111.892097473,113.067230225,118.653717041,135.459609985,114.148757935,273.785522461
25/07/2025 14:00,108.205619812,111.697410583,113.143936157,118.661827087,135.409545898,114.54977417,273.182769775
25/07/2025 15:00,108.097633362,111.500511169,113.238945007,119.306373596,135.361404419,115.163619995,272.647338867
25/07/2025 16:00,107.990463257,111.31880188,112.269508362,115.865707397,135.315246582,115.641746521,272.098266602
25/07/2025 17:00,107.892089844,111.136123657,112.117462158,117.953979492,135.271087646,116.384994507,271.5703125
25/07/2025 18:00,107.79234314,110.9585495,111.95488739,117.087799072,135.228912354,117.069702148,270.97277832
25/07/2025 19:00,107.697425842,110.779342651,112.020599365,117.043884277,135.188842773,117.431373596,270.530548096
25/07/2025 20:00,107.607704163,110.607055664,112.0990448,117.097465515,135.150817871,117.957778931,269.941253662
25/07/2025 21:00,107.517692566,110.44316864,111.989898682,114.729492188,135.114944458,109.13633728,269.421478271
